id,created,updated,assetId,durationSeconds,aspectRatio,maxResolution,playbackId,streamUrl,posterUrl,references,sourceTypes,sourceDocs
720cdefd-d1f7-4a40-a776-8b31c0e59033,2026-02-04T21:14:28Z,2026-02-04T21:14:55Z,z2rrsryAnqvDm02XgDV01pkv00Zk1r7KY8qCITUgwT5eDM,12.733333,512:419,UHD,1aab0145y2LhTESBVaRpjFaTOB00QfGxE2UCbsIa7GwMA,https://stream.mux.com/1aab0145y2LhTESBVaRpjFaTOB00QfGxE2UCbsIa7GwMA.m3u8,https://image.mux.com/1aab0145y2LhTESBVaRpjFaTOB00QfGxE2UCbsIa7GwMA/thumbnail.jpg?time=0,1,releaseNote,1-17-0-github-live-tab-groups
7a4054ce-a9d9-4209-bc7c-8d796fa24c28,2026-02-04T21:15:28Z,2026-02-04T21:15:52Z,6ayWLQ0100btAQ00AEl2kND4N7uuViopv02N218pKMIVOMA,7.833333,32:23,UHD,mAGT6BihkwVKxUrQJt9F027AoPveSavIzDkw00CAnwRM8,https://stream.mux.com/mAGT6BihkwVKxUrQJt9F027AoPveSavIzDkw00CAnwRM8.m3u8,https://image.mux.com/mAGT6BihkwVKxUrQJt9F027AoPveSavIzDkw00CAnwRM8/thumbnail.jpg?time=0,1,releaseNote,1-17-0-github-live-tab-groups
d2f9af79-895f-442f-a995-34860c6f25f4,2026-02-05T14:30:18Z,2026-02-05T14:30:45Z,tQezBBTzrv2Xs02st4ISVrXzWIn7lW5bs02ZK7k02kasC8,53.064889,16:9,HD,momc4seSpLratcFnBENTTK4nrJYHarfRyRDfICGpwss,https://stream.mux.com/momc4seSpLratcFnBENTTK4nrJYHarfRyRDfICGpwss.m3u8,https://image.mux.com/momc4seSpLratcFnBENTTK4nrJYHarfRyRDfICGpwss/thumbnail.jpg?time=0,3,releaseNote,1-17-0-github-live-tab-groups | lorem-ipsum-dolor-set
6a7c8458-eb73-4c81-a350-509195c0941d,2026-02-12T15:26:50Z,2026-02-12T15:27:17Z,Q3Y7Zd9qxfzbBA8JHnMtMj02BCVngf7vsGIxqTB8V02x4,12.9,1024:769,UHD,kWVZSnHCsvYzTA6iVEdJ00xbbkHTkfi5WFQV7BZcEJXY,https://stream.mux.com/kWVZSnHCsvYzTA6iVEdJ00xbbkHTkfi5WFQV7BZcEJXY.m3u8,https://image.mux.com/kWVZSnHCsvYzTA6iVEdJ00xbbkHTkfi5WFQV7BZcEJXY/thumbnail.jpg?time=0,1,releaseNote,1-18-1-your-setup-your-way
a44a265a-e6fb-43d2-8063-326302052513,2026-02-12T15:28:17Z,2026-02-12T15:28:47Z,Kjrw01OWGmZK2Ca01xRwMK5r89Kmr2C15h6g4oq15cI6c,9.933333,256:191,UHD,lLw7XGQolrrMsUCPkHDBwaG36kMk2qsg7F701a8n02hyg,https://stream.mux.com/lLw7XGQolrrMsUCPkHDBwaG36kMk2qsg7F701a8n02hyg.m3u8,https://image.mux.com/lLw7XGQolrrMsUCPkHDBwaG36kMk2qsg7F701a8n02hyg/thumbnail.jpg?time=0,1,releaseNote,1-18-1-your-setup-your-way
ed78dc09-b3a5-4873-8c94-aa46ed5e778d,2026-02-12T15:31:16Z,2026-02-12T15:31:43Z,WBRUQa02wOM3pPskFVtiPQEjXlo7ee6AIfEVCkMDW01go,8.8,512:395,UHD,kEac45iK58G7m02q02Arwqq6l2RusVQ3it2qNhCazuNEs,https://stream.mux.com/kEac45iK58G7m02q02Arwqq6l2RusVQ3it2qNhCazuNEs.m3u8,https://image.mux.com/kEac45iK58G7m02q02Arwqq6l2RusVQ3it2qNhCazuNEs/thumbnail.jpg?time=0,1,releaseNote,1-18-1-your-setup-your-way
1f61f547-5f1c-4413-8d5f-d686bde16369,2026-02-18T23:21:25Z,2026-02-18T23:21:56Z,mwmvEaYrE02lT2dcEmXRLnkXhcSL9caYNq9eNhAxJyUI,11.5,128:89,UHD,47sC00y8WtxXbcpNyrBtJ011YQmjEMoWhAo6yGMePKW0200,https://stream.mux.com/47sC00y8WtxXbcpNyrBtJ011YQmjEMoWhAo6yGMePKW0200.m3u8,https://image.mux.com/47sC00y8WtxXbcpNyrBtJ011YQmjEMoWhAo6yGMePKW0200/thumbnail.jpg?time=0,1,releaseNote,1-19-0-tab-groups-and-proactive-suggestions
93a6c385-b87c-4028-bfc4-fbbb8c3e34e7,2026-02-18T23:25:52Z,2026-02-18T23:30:20Z,d1R5ZOKpfbUcBlKPK02jPtQqEHzUcKRnZ2DeAcj01FlQE,14.6,1024:875,UHD,KLjdxAj01ll7fv2g01b71lZxYR9JDz00bDBYQgtVfVnc1A,https://stream.mux.com/KLjdxAj01ll7fv2g01b71lZxYR9JDz00bDBYQgtVfVnc1A.m3u8,https://image.mux.com/KLjdxAj01ll7fv2g01b71lZxYR9JDz00bDBYQgtVfVnc1A/thumbnail.jpg?time=0,0,,
2ad54a1d-1dd7-42e9-a8de-e8d289edfaa2,2026-02-19T01:38:45Z,2026-02-19T01:39:08Z,NcGqmtvpMULVT9QMpCFaJuT5OrSjK802hTUocvCw9AQ00,5.6,1024:737,UHD,YVeXiHJvd3NSo9005nFdub7xsPIFHn4LIl3ZKQ5un1Nk,https://stream.mux.com/YVeXiHJvd3NSo9005nFdub7xsPIFHn4LIl3ZKQ5un1Nk.m3u8,https://image.mux.com/YVeXiHJvd3NSo9005nFdub7xsPIFHn4LIl3ZKQ5un1Nk/thumbnail.jpg?time=0,1,releaseNote,1-19-0-tab-groups-and-proactive-suggestions
f3d9d8c3-6d47-41b1-9050-47182a0470ff,2026-02-19T14:58:23Z,2026-02-19T14:58:52Z,2G39OyhEcBDwnKbrAVEs01xiDXyDrWn7V78zaoq7kaws,14.6,1024:875,UHD,eF701sE3ZYqrtvPiTWXbDY2rtp6T6JzYpMVCPzPHXzXk,https://stream.mux.com/eF701sE3ZYqrtvPiTWXbDY2rtp6T6JzYpMVCPzPHXzXk.m3u8,https://image.mux.com/eF701sE3ZYqrtvPiTWXbDY2rtp6T6JzYpMVCPzPHXzXk/thumbnail.jpg?time=0,0,,
